[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 264 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 265 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 266 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 267 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 268 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 269 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 270 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 271 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 272 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 273 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 274 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 275 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 276 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 277 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 278 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 279 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 280 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 281 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 282 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 283 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 284 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 285 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 286 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 287 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 288 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 289 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 290 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 291 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 292 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 293 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 294 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 295 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 296 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 297 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 298 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 299 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 300 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 301 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 302 veses
